EZE00100082,17880101,TMAX,30,,,E,
EZE00100082,17880101,TMIN,20,,,E,
ITE00100554,17880101,TMAX,75,,,E,
ITE00100554,17880101,TMIN,63,,,E,
EZE00100082,17880102,TMAX,36,,,E,
EZE00100082,17880102,TMIN,24,,,E,
ITE00100554,17880102,TMAX,73,,,E,
ITE00100554,17880102,TMIN,54,,,E,
EZE00100082,17880103,TMAX,46,,,E,
EZE00100082,17880103,TMIN,33,,,E,
ITE00100554,17880103,TMAX,66,,,E,
ITE00100554,17880103,TMIN,65,,,E,
EZE00100082,17880104,TMAX,80,,,E,
EZE00100082,17880104,TMIN,42,,,E,
ITE00100554,17880104,TMAX,63,,,E,
ITE00100554,17880104,TMIN,50,,,E,
EZE00100082,17880105,TMAX,88,,,E,
EZE00100082,17880105,TMIN,37,,,E,
ITE00100554,17880105,TMAX,65,,,E,
ITE00100554,17880105,TMIN,56,,,E,
EZE00100082,17880106,TMAX,78,,,E,
EZE00100082,17880106,TMIN,30,,,E,
ITE00100554,17880106,TMAX,63,,,E,
ITE00100554,17880106,TMIN,56,,,E,
EZE00100082,17880107,TMAX,47,,,E,
EZE00100082,17880107,TMIN,36,,,E,
ITE00100554,17880107,TMAX,63,,,E,
ITE00100554,17880107,TMIN,58,,,E,
EZE00100082,17880108,TMAX,63,,,E,
EZE00100082,17880108,TMIN,37,,,E,
ITE00100554,17880108,TMAX,75,,,E,
ITE00100554,17880108,TMIN,58,,,E,
EZE00100082,17880109,TMAX,50,,,E,
EZE00100082,17880109,TMIN,15,,,E,
ITE00100554,17880109,TMAX,100,,,E,
ITE00100554,17880109,TMIN,75,,,E,
EZE00100082,17880110,TMAX,30,,,E,
EZE00100082,17880110,TMIN,2,,,E,
ITE00100554,17880110,TMAX,96,,,E,
ITE00100554,17880110,TMIN,63,,,E,
EZE00100082,17880111,TMAX,18,,,E,
EZE00100082,17880111,TMIN,-3,,,E,
ITE00100554,17880111,TMAX,71,,,E,
ITE00100554,17880111,TMIN,25,,,E,
EZE00100082,17880112,TMAX,45,,,E,
EZE00100082,17880112,TMIN,5,,,E,
ITE00100554,17880112,TMAX,38,,,E,
ITE00100554,17880112,TMIN,16,,,E,
EZE00100082,17880113,TMAX,46,,,E,
EZE00100082,17880113,TMIN,20,,,E,
ITE00100554,17880113,TMAX,29,,,E,
ITE00100554,17880113,TMIN,16,,,E,
EZE00100082,17880114,TMAX,33,,,E,
EZE00100082,17880114,TMIN,0,,,E,
ITE00100554,17880114,TMAX,20,,,E,
ITE00100554,17880114,TMIN,3,,,E,
EZE00100082,17880115,TMAX,0,,,E,
EZE00100082,17880115,TMIN,-45,,,E,
ITE00100554,17880115,TMAX,41,,,E,
ITE00100554,17880115,TMIN,8,,,E,
EZE00100082,17880116,TMAX,42,,,E,
EZE00100082,17880116,TMIN,-56,,,E,
ITE00100554,17880116,TMAX,45,,,E,
ITE00100554,17880116,TMIN,0,,,E,
EZE00100082,17880117,TMAX,69,,,E,
EZE00100082,17880117,TMIN,42,,,E,
ITE00100554,17880117,TMAX,78,,,E,
ITE00100554,17880117,TMIN,0,,,E,
EZE00100082,17880118,TMAX,55,,,E,
EZE00100082,17880118,TMIN,18,,,E,
ITE00100554,17880118,TMAX,79,,,E,
ITE00100554,17880118,TMIN,16,,,E,
EZE00100082,17880119,TMAX,40,,,E,
EZE00100082,17880119,TMIN,10,,,E,
ITE00100554,17880119,TMAX,50,,,E,
ITE00100554,17880119,TMIN,29,,,E,
